business_date,material_code,warehouse_code,location_code,board_code,movement_type,quantity,source_order_no,quality_status
2026-05-12,5HG.807.109.C,WH-JY,A-01,KB-AI-NORMAL-01,INBOUND,200,IN-AI-0001,NORMAL
2026-05-20,5HG.807.109.C,WH-JY,A-01,KB-AI-NORMAL-01,OUTBOUND,60,OUT-AI-0001,NORMAL
2026-05-30,5HG.807.109.C,WH-JY,A-01,KB-AI-NORMAL-01,OUTBOUND,40,OUT-AI-0002,NORMAL
2026-06-08,5HG.807.109.C,WH-JY,A-01,KB-AI-NORMAL-01,INBOUND,80,IN-AI-0002,NORMAL
2026-06-18,5HG.807.109.C,WH-JY,A-01,KB-AI-NORMAL-01,OUTBOUND,50,OUT-AI-0003,NORMAL
2026-05-18,5WD.723.913.C,WH-JY,A-02,KB-AI-SHORT-01,INBOUND,120,IN-AI-0101,NORMAL
2026-06-10,5WD.723.913.C,WH-JY,A-02,KB-AI-SHORT-01,OUTBOUND,45,OUT-AI-0101,NORMAL
2026-06-14,5WD.723.913.C,WH-JY,A-02,KB-AI-SHORT-01,OUTBOUND,38,OUT-AI-0102,NORMAL
2026-06-20,5WD.723.913.C,WH-JY,A-02,KB-AI-SHORT-01,OUTBOUND,27,OUT-AI-0103,NORMAL
2026-05-10,5Q0.803.219.D,WH-JY,B-01,KB-AI-CRIT-01,INBOUND,90,IN-AI-0201,NORMAL
2026-06-16,5Q0.803.219.D,WH-JY,B-01,KB-AI-CRIT-01,OUTBOUND,90,OUT-AI-0201,NORMAL
2026-04-15,3Q0.864.245.A,WH-JY,B-02,KB-AI-STAG-01,INBOUND,140,IN-AI-0301,NORMAL
2026-04-18,3Q0.864.245.A,WH-JY,B-02,KB-AI-STAG-01,SEAL,20,SEAL-AI-0301,HOLD
2026-04-28,5WA.857.031.B,WH-JY,C-01,KB-AI-SLOW-01,INBOUND,180,IN-AI-0401,NEAR_EXPIRY
2026-06-02,5WA.857.031.B,WH-JY,C-01,KB-AI-SLOW-01,OUTBOUND,20,OUT-AI-0401,NEAR_EXPIRY
2026-06-06,5WA.857.031.B,WH-JY,C-01,KB-AI-SLOW-01,OUTBOUND,12,OUT-AI-0402,NEAR_EXPIRY
2026-05-26,8W0.807.541.C,WH-FL,D-01,KB-AI-SEAL-01,INBOUND,160,IN-AI-0501,NORMAL
2026-06-11,8W0.807.541.C,WH-FL,D-01,KB-AI-SEAL-01,SEAL,120,SEAL-AI-0501,HOLD
2026-06-19,8W0.807.541.C,WH-FL,D-01,KB-AI-SEAL-01,OUTBOUND,15,OUT-AI-0501,HOLD
2026-05-05,5WA.857.031.B,WH-JY,C-02,KB-AI-EXP-01,INBOUND,60,IN-AI-0601,EXPIRED
2026-06-21,5WA.857.031.B,WH-JY,C-02,KB-AI-EXP-01,SCRAP,20,SCRAP-AI-0601,EXPIRED
